"Code Reference"," English"," Arabic"
"ARCHER_QUEEN_ALTAR_DESCRIPTION "," أبو صقر محارب ماهر، وسلاحه المفضل هو مسدس صغير يحلم بعض الرجال بإشهاره. يمكنه مهاجمة قرى الأعداء أو حراسة قريتك."," Abu Saqer is an eagle-eyed warrior, whose weapon of choice is a modified handgun that few men could dream of wielding. He can attack enemy villages or guard your village."
"CANNON_DESCRIPTION "," تقوم هذه الأسلحة القديمة بقذف الرماح الثقيلة في وجه المهاجمين القادمين. و تطويرها يجعلها أكثر قوة!"," These ancient weapons fling heavy spears at oncoming attackers. Upgrading will make them even more powerful!"
"ARCHER_TOWER_DESCRIPTION "," يستمر الرماة الذين لهم أعين مثل أعين النسر في السهر للمراقبة من هذه المواقع حيث يمكنهم الدفاع عنها ضد الأعداء الذين يأتون برًا وجوًا!"," Our eagle-eyed archers keep a watchful lookout from these perches. They can defend against enemies from the ground and air!"
"WALL_DESCRIPTION "," مع تزايد التهديدات المحيطة بنا، يجب علينا بناء الجدران وتطويرها لحماية ما نملكه من مباني وموارد!"," With increasing threats all around, we must build and upgrade walls to protect our buildings and resources!"
"MORTAR_DESCRIPTION "," يتمتع هذا المنجنيق بنطاق واسع للتصويب كما أنه يلحق الضرر بجميع الأعداء الموجودين بالقرب من نقطة الارتطام. يعد هذا المنجنيق فعًالا بشكل خاص في مواجهة مجموعات المعتدين الصغيرة."," These Catapult has massive range and inflicts damage on all enemies near the point of impact. Especially effective against attackers in tight groups."
"AIR_DEFENSE_DESCRIPTION "," هناك اختراع أحدث من رمي الرمح ألا وهو رمي الحجارة الذي يتمتع بنطاق تصويب أطول ويمكنه مواجهة كلا من الأهداف الجوية!"," A more modern invention than the javelin launcher, these rock throwers have longer range and can defend against air targets!"
"WIZARD_TOWER_DESCRIPTION "," يملك هذا المدافع ذراعًا قوية للرمي وأجولة مليئة بقنابل الدخان، التي تتسبب في تدمير قوي يستهدف القوات الجوية والأرضية."," This defender has a good throwing arms and sacks full of smoke bombs, which they rain down powerful destruction that target both flying and ground troops."
"HIDDEN_TESLA_DESCRIPTION "," هؤلاء الرجال يختبئون بصبر تحت الأرض ثم يهبون لتحية من يقترب من المهاجمين بالسهام الشائكة! عند اقتراب أي عدو برًا أو جوًا، تنتفض الأبراج وتغرق العدو بالسهام السامة!"," Some people dislike small, dark places. Not these guys! They hide patiently underground, then spring up to greet oncoming attackers with razor darts! When an enemy walks or flies close enough, the tower springs up and showers the enemy with venomous darts!"
"X_BOW_DESCRIPTION "," يعد المدفع التلقائي أكثر الوحدات فتكًا وأكثرها دقة؛ فهو يطلق قذائف سريعة الطلقات على الأهداف البرية والجوية. تأكد من تعبئته بالماء على الدوام من احتياطي الماء لدينا! يمكنك ضبطه لاستهداف الوحدات البرية الموجودة على مسافات بعيدة أو جميع الأهداف الموجودة على مسافات قريبة."," Our deadliest and most accurate defensive unit, the auto cannon spits rapidfire shells at both ground and air targets. Be sure to keep it loaded with water from our water reserves! You can set it to target ground units at long ranges, or all targets at reduced range."
"BOMB_DESCRIPTION "," علمنا أحد التجار الذين مروا بنا هذه الخدعة؛ ضع هذه القنابل المخبأة حول القرية وراقب انفجار قوات الأعداء عند اقترابها!"," A passing merchant taught us this little trick. Place these concealed bombs around the village and watch as enemy troops are blown away!"
"SPRING_TRAP_DESCRIPTION "," احفر حفرة، واملأ نصفها بالماء ونصفها الآخر بالرمال. راقب وانتظر قوات الأعداء وهي تختفي!"," Dig a pit. Fill it half with water, half with sand. Watch and wait as enemy troops disappear!"
"AIR_BOMB_DESCRIPTION "," لا أحد يتوقع أن تكون الحمامة الصغيرة اللطيفة بمثل هذه القوة. على المهاجمين عن طريق الجو أن يحذروا!"," No one expects a cute little pigeon to be packing this much punch. Attackers by air beware!"
"GIANT_BOMB_DESCRIPTION "," ما أفضل من عصا الديناميت؟ مجموعة كبيرة منها! تلحق هذه العصي أضرارًا جسيمة بالقوات المحيطة بها."," What's even better than a stick of dynamite? A whole bunch of them! These inflict massive damage on surrounding troops."
"SEEKING_AIR_MINE_DESCRIPTION "," يعد الحمام من الحيوانات سيئة السمعة - فهي تلاحق أي من تراه في مجالها الجوي وتسقطه أرضًا بروح انتقامية!"," Pigeons are notoriously territorial animals – anything that comes in their airspace they will seek and hunt down with a vengeance!"
"TOWN_HALL_DESCRIPTION "," الديوان قلب وروح قريتنا، حيث يمكننا اتخاذ جميع القرارات الحاسمة. تتيح لنا تطوير الديوان بناء مباني ودفاعات أكثر وأفضل. انتبه - يستهدف الأعداء الديوان أكثر من أي بناء آخر؛ فخسارته تعني خسارة المعركة!"," The heart and soul of our village, where we make all the big decisions. Upgrading the Diwan allows us to build more and better buildings and defenses. Take care – enemies will target this building above others, and losing it means losing the battle!"
"CLAN_CASTLE_DESCRIPTION "," المجلس هو المكان الذي نقوم فيه بإيواء وتسلية قبيلتنا؛ فحين يرسل أفراد قبيلتنا جنودًا من أجل الجيش، فهذا هو المكان الذي يمكثون فيه."," The Majlis is where we house and entertain our tribe. When members of our tribe send soldiers for our army, this is where they stay."
"ONEDAY_DESCRIPTION "," يمنع هذا الدرع جميع الهجمات التي تشن على قريتك لفترة محدودة. إذا اشتريت أكثر من درع، فستضاف فتراتهم إلى هذه الفترة. عندما تهاجم اللاعبين الآخرين، يتم نزع درعك."," This armor will prevent all attacks on your village for a limited time. If you buy more than one armor, the durations are added up. Attacking other players will remove your armor."
"TWODAY_DESCRIPTION "," يمنع هذا الدرع جميع الهجمات التي تشن على قريتك لفترة محدودة. إذا اشتريت أكثر من درع، فستضاف فتراتهم إلى هذه الفترة. عندما تهاجم اللاعبين الآخرين، يتم نزع درعك."," This armor will prevent all attacks on your village for a limited time. If you buy more than one armor, the durations are added up. Attacking other players will remove your armor."
"ONEWEEK_DESCRIPTION "," يمنع هذا الدرع جميع الهجمات التي تشن على قريتك لفترة محدودة. إذا اشتريت أكثر من درع، فستضاف فتراتهم إلى هذه الفترة. عندما تهاجم اللاعبين الآخرين، يتم نزع درعك."," This armor will prevent all attacks on your village for a limited time. If you buy more than one armor, the durations are added up. Attacking other players will remove your armor."
"ELIXIR_COLLECTOR_NAME "," بئر مياه"," Water Well"
"GOLD_MINE_NAME "," خزينة"," Treasury"
"BUILDERS_HUT_NAME "," كوخ البناي"," Carpenter's Shop"
"DARK_ELIXIR_DRILL_NAME "," حافرة النفط"," Oil Derrick"
"ELIXIR_STORAGE_NAME "," إبريق الماء"," Water Jug"
"GOLD_STORAGE_NAME "," مخزن الذهب"," Gold Chest"
"DARK_ELIXIR_STORAGE_NAME "," مخزن نفط"," Oil Storage"
"ARMY_CAMP_NAME "," منطقة تجمع"," Staging Area"
"BARRACK_NAME "," ساحة التدريب"," Training Ground"
"LABORATORY_NAME "," خيمة أبو صقر"," Abu Saqer's Tent"
"SPELL_FACTORY_NAME "," متجرالعطار"," Herbalist's Shop"
"BARBARIAN_KING_ALTAR_NAME "," واحة فارس"," Faris's Oasis"
"DARK_BARRACK_NAME "," ساحة التدريب السوداء"," Advanced Training"
"ARCHER_QUEEN_ALTAR_NAME "," واحة أبو صقر"," Abu Saqer's Oasis"
"CANNON_NAME "," قاذفة الرماح"," Javelin Launcher"
"ARCHER_TOWER_NAME "," وكر رامي السهام"," Archer's Nest"
"WALL_NAME "," جدار"," Wall"
"MORTAR_NAME "," منجنيق"," Catapult"
"AIR_DEFENSE_NAME "," قاذف الصخور"," Rock Thrower"
"WIZARD_TOWER_NAME "," قاذف القنابل"," Bomber Tower"
"HIDDEN_TESLA_NAME "," نافخ السهام"," Hidden Dartblower"
"X_BOW_NAME "," مدفع"," Cannon"
"BOMB_NAME "," ديناميت"," Dynamite"
"SPRING_TRAP_NAME "," رمال متحركة"," Quick Sand"
"AIR_BOMB_NAME "," قنبلة حمام"," Pigeon Bomb"
"GIANT_BOMB_NAME "," صندوق ديناميت"," Crate of Dynamite"
"SEEKING_AIR_MINE_NAME "," حمامة انتحارية"," Kamikaze Pigeon"
"TOWN_HALL_NAME "," الديوان"," Diwan"
"CLAN_CASTLE_NAME "," مجلس القبيلة"," Tribe Majlis"
"ONEDAY_NAME "," درع لمدة يوم واحد"," One Day Armor"
"TWODAY_NAME "," درع لمدة يومين"," Two Day Armor"
"ONEWEEK_NAME "," درع لمدة أسبوع"," One Week Armor"
"FLAG_NAME "," علم"," Flag"
"FLOWER_NAME "," زهرة"," Flower"
"STATUE_NAME "," فانوس"," Lantern"
"TORCH_NAME "," شعلة"," Torch"
"FLOWER_BED1_NAME "," إقحوانات الصحراء"," Desert Daisies"
"FLOWER_BED2_NAME "," زهور برية"," Wildflowers"
"FLOWER_BED3_NAME "," زهور صحراوية"," Desert Flowers"
"PALM_TREE_NAME "," شجرة النخيل"," Palm Tree"
"RALLY_FLAG_NAME "," علم التجمع"," Rally Flag"
"MUSHROOM_NAME "," شجيرة"," Bush"
"BUSH_NAME "," شجيرة"," Bush"
"TRUNK1_NAME "," شجرة"," Tree"
"TRUNK2_NAME "," نخلة ميتة"," Dead Palm"
"TRUNK_FALLEN_NAME "," جثة جمل"," Camel Skeleton"
"SMALL_TREE_NAME "," نخلة صغيرة"," Mini-Palm Tree"
"MEDIUM_TREE_NAME "," نخلة"," Palm Tree"
"LARGE_TREE_NAME "," نخل"," Palm Trees"
"SMALL_STONE1_NAME "," حجرة صغيرة"," Small Rock"
"SMALL_STONE2_NAME "," حجرة صغيرة"," Very Small Rock"
"SMALL_STONE3_NAME "," حجرة صغيرة"," Tiny Rock"
"SMALL_STONE4_NAME "," حجر مكسور"," Cracked Rock"
"PILLAR_STONE_NAME "," حجر متوسط"," Medium Rock"
"LARGE_STONE_NAME "," حجر كبير"," Large Rock"
"LIGHTNING_NAME "," هبوب"," Sand Storm"
"HEALING_NAME "," تضميد"," Healing"
"RAGE_NAME "," غيظ"," Fury"
"JUMP_NAME "," قفز"," Hop"
"Spell_LIGHTNING "," دمّر أعداءك بعاصفة رملية!",""
"","",""
"استخدم هذا في قرية الأعداء لتدمير المباني والوحدات الموجودة داخل مساحة صغيرة."," Damage your enemies with a sandstorm!",""
"","",""
"Use this at the enemy village to damage buildings and units inside a small area.","",""
"Spell_HEALING "," جدد نشاط قواتك بهذه الأعشاب وهم يقاتلون!",""
"","",""
"استخدم هذه الأعشاب لإنشاء حلقة تجديد النشاط. سيتم تجديد نشاط قواتك أثناء وجودهم داخل الحلقة."," Rejuvenate your Troops with these herbs while they are fighting!",""
"","",""
"Use this to create a rejuvenation ring. Your units will be rejuvenated while they are inside this ring.","",""
"Spell_RAGE "," لا شيء يروي العطش ويجعل القوات أكبر وأسرع وأقوى كحليب الإبل!",""
"","",""
"استخدم هذا الحليب لإنشاء حلقة احتدام! ستكتسب وحداتك السرعة وقوة الهجوم أثناء وجودها داخل هذه الحلقة."," Hydrate your Troops with camel milk to make them bigger, faster and stronger!",""
"","",""
"Use this milk to create a Fury Ring! Your units will gain speed and attack power while they are inside this ring.","",""
"Spell_JUMP "," ستساعد القهوة العربية القوية قواتك على القفز فوق الجدران!",""
"","",""
"أعطِ قواتك هذه القهوة لإمتلاكهم قدرة مؤقتة للقفز فوق الجدران. قم بتطوير القهوة لتسمح بقفز العملاق والإبل وفارس وأبو صقر و بن سيفين أيضًا."," Walls slowing you down? Sounds like your army needs some strong Arabic coffee!",""
"","",""
"Cast this spell on enemy walls to allow your troops to jump right over them as if they weren't even there!","",""
"Soldier_BARBARIAN_NAME "," الفدائي"," Mercenary"
"Soldier_ARCHER_NAME "," رامي السهام"," Archer"
"Soldier_GOBLIN_NAME "," كلب سلوقي"," Saluki"
"Soldier_GIANT_NAME "," العملاق"," Giant"
"Soldier_WALL_BREAKER_NAME "," جربوع"," Gerbil"
"Soldier_BALLOON_NAME "," الصقار"," Falconer"
"Soldier_WIZARD_NAME "," الرامي"," Rifleman"
"Soldier_HEALER_NAME "," حمائم التضميد"," Healing Doves"
"Soldier_DRAGON_NAME "," الصقر العملاق"," Giant Falcon"
"Soldier_PEKKA_NAME "," الجمل الهائج"," Raging Camel"
"Soldier_MINION_NAME "," جراد"," Locust"
"Soldier_HOG_RIDER_NAME "," راعي الغنم"," Shepherd"
"Soldier_VALKYRIE_NAME "," بن سيفان"," Warrior"
"Soldier_BARBARIAN_KING_NAME "," فارس"," Faris"
"Soldier_ARCHER_QUEEN_NAME "," أبو صقر"," Abu Saqer"
"Soldier_BARBARIAN "," يتسم الفدائي بالشجاعة والولاء الشديد، ويهاجم - مقابل سعر مناسب - إلى أن يتم تدمير كل شيء!"," Brave, fearless, and fiercely loyal – for the right price – these mercenaries will attack until nothing is left standing!"
"Soldier_ARCHER "," يستخدم الرماة ذكائهم للهجوم من مسافة بعيدة وبدقة بالغة. استخدمهم لتوفير الدعم للقوات الأخرى أو لإطلاق جيش من الرماة!"," Archers use their wits to strike from long-range with deadly accuracy. Use them to provide support for other troops, or unleash an army of archers!"
"Soldier_GOBLIN "," يتسم الكلب السلوقي بالسرعة والذكاء والحسم وسرقة موارد وذلك بعد أن تربى وتدرب لقرون في صحراء الجزيرة العربية!"," Bred and trained in Arabia for centuries, the Saluki hound is fast, smart, determined - and steals enemy resources!"
"Soldier_GIANT "," يسميهم بقية الجنود بالهائجين، لأنهم يهاجمون كالمجانين! ترتد عنهم الأسهم والحجارة، ويستمتعون بتحطيم دفاعات العدو قبل أي شيء آخر!"," The other troops call them Berserkers because they're nuts. Arrows and rocks bounce off them, and they love nothing more than charging straight for the enemy's defenses!"
"Soldier_WALL_BREAKER "," تبدو هذه الجرابيع مسالمة ولكنها عازمة على هدم تلك الجدران و تدميرها. أطلقها لهدم الجدران ومهد الطريق لقواتك!"," These cute gerbils look harmless, but are determined to destroy those walls to pieces. Unleash them to destroy walls and make way for your troops!"
"Soldier_BALLOON "," قام الصيادون التابعون لنا ممن يستعينون بالصقور بتعليم أعظم الصيادين في السماء بضعة حيل جديدة. تقوم الصقور بتفجير دفاعاتهم إلى أن تصبح أشلاء!"," Our falconers have taught the greatest hunters in the sky a few new tricks. Their falcons bomb defenses to smithereens!"
"Soldier_WIZARD "," يستخدم هؤلاء الرماة أسلحة جديدة تم الاستيلاء عليها من المخيمات الاستعمارية و شراؤها من التجار الذين يمرون بنا. التدريب يستغرق وقتًا إلا أن بنادقهم تتمتع بقوة خارقة!"," These riflemen use new weapons taken from colonial camps or sold by passing traders. Training takes time, but their rifles pack a powerful punch!"
"Soldier_HEALER "," دربت هذه المجموعة من الحمام لتقديم الأعشاب الشافية إلى قواتك أثناء المعركة، لكن احذر، فهي عرضة للدفاعات الجوية!"," These flying angels of mercy have been trained to deliver healing herbs to your troops during battle. Careful, they're vulnerable to air defenses!"
"Soldier_DRAGON "," هل هذا الصقر العملاق هو طائر الرخ الأسطوري الذي وصفه ابن بطوطة بأنه جبل يحوم في الهواء؟"," Is this giant bird the Rukh of mythic legend, which Ibn Battuta described as a mountain hovering in the air? Or are our falcon trainers just that good?"
"Soldier_PEKKA "," توجه هذه الأطر القوية للإبل مع درع الرأس ضربات قوية ولكنهم يكرهون قنابل الدخان!"," Born with thick skulls and bred to hate captivity, these camels' powerful frames with head armor deliver powerful blows, but they hate smoke bombs!"
"Soldier_BARBARIAN_KING "," إن فارس هو أقسى جندي فيهم جميعًا، فقد جعلته جينات والده يترعرع ليصبح محاربًا قويًا. إنه كبير الحجم ويحارب فوق فرسه العربي الموثوق فيه. يمكنه مهاجمة قرى الأعداء أو حراسة قريتك."," Faris is the toughest soldier of them all. His father's genes have made him blossom into a powerful warrior. He is large in size and fights on his trusty thorough bred Arabian horse. He can attack enemy villages or guard your village."
"Soldier_ARCHER_QUEEN "," أبو صقر هو محارب له أعين مثل أعين النسر وسلاحه المفضل هو مسدس صغير يستطيع قلة من الرجال استخدامه بمهارة. يمكنه مهاجمة قرى الأعداء أو حراسة قريتك."," Abu Saqer is an eagle-eyed warrior, whose weapon of choice is a modified hand gun that few men can masterfully use. He can attack enemy villages or guard your village."
"Soldier_MINION "," هذا الجراد ينفث السم ليدمر العدو. وهو أكثر فاعلية عندما يخرج في أعداد هائلة! يُحلق الجراد في الهواء متجنباً الدفاعات الأرضية فقط، ويضرب أي شيء في طريقه عن بعد."," Small but vicious, these flying units spit venom to chip away at the enemy. More effective when sent out in a swarm! Locusts fly in the air avoiding ground only defenses and strikes anything in its path from afar."
"Soldier_HOG_RIDER "," قضاء أعوام في رفقة الأغنام جعل هذا المقاتل إلى حدّ ما... متأثرين. إنهم يدخلون المعركة على ظهور الأغنام ويقفزون فوق الجدران، شاهرين المغارف لينزلوا بعدوهم أضراراً جسيمة!"," Spending years in the company of sheep has left these fighters a bit…touched. They ride into battle on the backs of sheep and leap over walls, wielding ladles to serve up some serious damage!"
"Soldier_VALKYRIE "," هذا الجندي مخضرم، هادئ ورابط الجأش في المعركة. هجماته شديدة الدمار بحيث تسبب أضراراً في مساحة واسعة!"," These disciplined soldiers are seasoned veterans, cool and collected in battle. Their attacks are so devastating they cause damage across a wide area!"
"Chapter01_text_000 "," "," Once upon a time, in the vast Arabian desert, there was a young child named..."
"Chapter01_text_001 "," "," ...~username~"
"Tutorial_text_000 "," بعد أيام من السفر والمشي بهالقيض، وصلنا ولله الحمد لهالقرية الساحلية."," After traveling for many days across harsh dunes and rocky hills, we have finally arrived at this coastal village."
"Tutorial_text_001 "," أهل هالقرية عندهم ولاء لوالدك، وسيساعدونك في كل ما تحتاجه..."," These people were always loyal to your father, and will help with whatever you need..."
"Tutorial_text_002 "," القرية ضعيفة ومهددة من القبائل القوية التي تنهب مؤن الذهب والماء الموجودة..."," The village is vulnerable to attacks from more powerful tribes, who threaten our meager supply of GOLD and WATER..."
"Tutorial_text_003 "," لقد تتبعناكم عبر الصحراء لأيامٍ. وكانت أوامرنا ألا يُترك أحداً على قيد الحياة..."," We have followed you across the desert for days. Our orders were to loot your village and leave no one alive!"
"Tutorial_text_004 "," لا! عثر علينا الجيش الأسود! يالله إبن قاذفة الرماح لحماية القرية."," Oh no! It's the Black Army! Quick, let's build the javelin launcher to protect the village."
"Tutorial_text_005 "," والله انك فحل...لازم نتأكد أن دفاعنا يغطي كل أطراف القرية بقدر الإمكان!"," Always be sure our defenses are at the center of the village to protect our Diwan!"
"Tutorial_text_006 "," تقدر تعجيل عمل البناي أو تعيين بناي جديد بإنفاق اللآليء..."," You can speed up carpenters' work or recruit new ones by spending pearls..."
"Tutorial_text_007 "," تقدر تعجل عمل البناي أو تعيين بناي جديد بإنفاق اللآليء... عندنا لآليء كافية ... استمر بالعمل!"," You can speed up carpenters' work or recruit new ones by spending pearls... Right now we have pearls to spare - use them and keep it moving!"
"Tutorial_text_008 "," استعدوا لملاقاة مصيركم!!!"," Prepare to meet your fate!"
"Tutorial_text_009 "," انتصرنا عليهم بالكاد! لو كان هناك مزيد منهم، لكنا قد خسرنا بكل تأكيد..."," Yeesh, we barely pulled through! If there were any more of them, we'd have lost for sure..."
"Tutorial_text_010 "," لدينا رماية جاهزون لمهاجمة وحدة الجيش الأسود. ينتظرون أوامرك للهجوم!"," Our trusty riflemen are here to help us attack a small Black Army unit outside our village. They await your order to attack!"
"Tutorial_text_011 "," ممتاز! من الأفضل إن ترقي وتبني دفاعات أكثر إذا جمعت كمية أكبر من الذهب."," Well done! It would now be wise to upgrade and build more defenses."
"Tutorial_text_012 "," وظف بناي آخر ليقوم على إنشاء مبنى ثاني في نفس الوقت!"," Let's hire a second carpenter to work on another construction at the same time!"
"Tutorial_text_013 "," بئر الماء جف! لازم نبنيه من جديد"," We need water to train our troops, but our WELL has dried up! That won't do at all, we must build a new one."
"Tutorial_text_014 "," الآن نحتاج أن نخزن الماء في إبريق ماء كبير."," Now we need to store the water in a large water jug."
"Tutorial_text_015 "," عندنا خزانة ألي نستلم فيها الضرائب من التجار..."," We have a TREASURY, where we collect gold coins as taxes from trading merchants who travel through the village..."
"Tutorial_text_016 "," ...ومخزن الذهب..."," But we need to build a Gold Chest to store our gold coins"
"Tutorial_text_017 "," واحد من سكان القرية رأى مجموعة صغيرة من الجيش الأسود قريبين مننا!"," One of the villagers came across a small Black Army outpost nearby!"
"Tutorial_text_018 "," إذا لم نفعل شيئًا سيخبرون الجزار إننا هنا..."," If we don't do something, they'll tell The Butcher where we are..."
"Tutorial_text_019 "," الحين الخطوة الأخيرة: إنشاء جيش جبار!"," We have to raise our own army!"
"Tutorial_text_020 "," نبغى ساحة تدريب من أجل تجنيد القوات وتدريبها."," We need a TRAINING GROUND, where troops are recruited and trained."
"Tutorial_text_021 "," تستطيع أن تجند وحدات مختلفة في ساحات التدريب."," At the training ground, you can train different troop units!"
"Tutorial_text_022 "," الرجال جاهزون يا فارس. في انتظار إشارتك!"," The men are ready, Faris. You have the honor of sending them out!"
"Tutorial_text_023 "," ممتاز يا فارس! ثبت أنك قائد متمكن وشجاع. في هذه المناسبه، وش تبي تسمي هذي القرية؟"," Job well done, Faris! You've proven to be a solid commander. What do you want to name this village?"
"Tutorial_text_024 "," غارتك الناجحة على موقع الجيش الأسود مكنت جيشك الاستيلاء على مواردهم. اصبح لدينا ذهب كافي لتجديد الديوان!"," Your troops defeated the Black Army and raided the outpost's resources - now we have enough gold to upgrade the Diwan!"
"Tutorial_text_025 "," تطوير الديوان يعطينا الفرصة لبناء دفاعات كثيرة للقرية ومصادر أكثر..."," Upgrading the Diwan allows us to build even more defenses and resource buildings..."
"Tutorial_text_026 "," مبروك ، القرية تنمو بشكل ملحوظ!"," Congratulations are in order. Our VILLAGE is growing!"
"Tutorial_text_027 "," اجتزنا هجومنا الأول، وتأكدنا أن الجزار لن يعرف عنا لفترة من الوقت."," We survived our first few attacks, and made sure The Butcher won't know about us for some time."
"Tutorial_text_028 "," أعرف أن قلبك لا يزال يحترق ألمًا على فقدان أهلك... في يوم من الأيام ، سيكون عندنا القوة اللازمة وسنطارد الجزار...ولكن في الوقت الراهن، نحن نواجه تهديدات كثيرة أخرى."," I know your heart still burns with pain at the loss of your family... Someday, we may grow strong enough to go after The Butcher...but for now, we face many other threats."
"Tutorial_text_029 "," في يوم من الأيام ، سيكون عندنا القوة اللازمة وسنطارد الجزار...ولكن في الوقت الراهن، نحن نواجه تهديدات كثيرة أخرى."," Someday, we may grow strong enough to go after The Butcher...but for now, we face many other threats."
"Tutorial_text_030 "," نعيش في بيئة قاسية، وموارد قليلة. القبائل تهاجم بعضها البعض باستمرار...و سيصيبنا نفس المصير إذا لم نعزز من قوتنا."," We live in a harsh environment, with dwindling resources. A land where warring tribes constantly raid each other - and us too, if we don't build up our strength."
"Tutorial_text_031 "," وأنا هنا لمساعدتك إذا احتجت أي شيء."," I am here to help you should you need anything."
"Tutorial_text_032 "," ولكن الحين يا فارس لازم نحارب لنعيش..."," For now, Faris, we must fight to survive..."
"Tutorial_text_033 "," "," #N/A"
"Tutorial_text_034 "," "," #N/A"
"Tutorial_text_035 "," "," #N/A"
"Tutorial_text_036 "," "," #N/A"
"Tutorial_text_037 "," "," #N/A"
"Tutorial_text_038 "," "," #N/A"
"Tutorial_text_039 "," "," #N/A"
"Tutorial_text_040 "," "," #N/A"
"Tutorial_resuming "," "," #N/A"
"Tutorial_attack "," "," To start spawning your selected unit tap or hold your finger to the position shown."
"Tutorial_confirm_title "," تأكيد"," Comic Confirm"
"Tutorial_confirm_message "," رسالة"," Comic Message"
"Tutorial_confirm_okay "," نعم"," Yes"
"Tutorial_confirm_cancel "," لا"," No"
"Tutorial_villagename "," قرية ~username~"," ~username~'s village"
"InfoBarRow_DAMAGE_PER_SEC "," كمية الأضرار في الثانية الواحدة: ~firstValue~~connectCharacter~~secondValue~"," Damage Per Second: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_DAMAGE_BOOST "," زيادة الضرر: ~firstValue~~connectCharacter~~secondValue~٪"," Damage increase: ~firstValue~~connectCharacter~~secondValue~%"
"InfoBarRow_DARK_WATER_CAP "," القدرة: ~firstValue~~connectCharacter~~secondValue~"," Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_DARK_WARTER_PROD_RATE "," معدل الإنتاج: ~firstValue~~connectCharacter~~secondValue~ في الساعة"," Production Rate: ~firstValue~~connectCharacter~~secondValue~ per hour"
"InfoBarRow_DARK_WATER_STORAGE_CAPACITY "," سعة التخزين: ~firstValue~~connectCharacter~~secondValue~"," Storage Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_GOLD_CAP "," القدرة: ~firstValue~~connectCharacter~~secondValue~"," Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_GOLD_PROD_RATE "," معدل الإنتاج: ~firstValue~~connectCharacter~~secondValue~ في الساعة"," Production Rate: ~firstValue~~connectCharacter~~secondValue~ per hour"
"InfoBarRow_GOLD_STORAGE_CAPACITY "," سعة التخزين: ~firstValue~~connectCharacter~~secondValue~"," Storage Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_WATER_CAP "," القدرة: ~firstValue~~connectCharacter~~secondValue~"," Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_WATER_PROD_RATE "," معدل الإنتاج: ~firstValue~~connectCharacter~~secondValue~ في الساعة"," Production Rate: ~firstValue~~connectCharacter~~secondValue~ per hour"
"InfoBarRow_WATER_STORAGE_CAPACITY "," سعة التخزين: ~firstValue~~connectCharacter~~secondValue~"," Storage Capacity: ~firstValue~~connectCharacter~~secondValue~"
"Tutorial_text_050 "," "," #N/A"
"InfoBarRow_SPELL_CAP "," قدرة الوصفة: ~firstValue~~connectCharacter~~secondValue~"," Herb Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_HEAL "," تضميد الجراح: ~firstValue~~connectCharacter~~secondValue~"," Heal: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_HIT_POINT "," نقاط النجاح: ~firstValue~~connectCharacter~~secondValue~"," Hitpoints: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_REGEN_TIME "," وقت التجدد: ~firstValue~~connectCharacter~~secondValue~ دقيقة"," Regeneration Time: ~firstValue~~connectCharacter~~secondValue~ Minutes"
"InfoBarRow_SPEED_BOOST "," زيادة السرعة: ~firstValue~~connectCharacter~~secondValue~٪"," Speed increase: ~firstValue~~connectCharacter~~secondValue~%"
"InfoBarRow_SIZE_LIMIT "," حد الحجم: ~firstValue~~connectCharacter~~secondValue~"," Size Limit: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_TROOP_CAP "," إجمالي قدرة القوات: ~firstValue~~connectCharacter~~secondValue~"," Total Troop Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_CLAN_TROOP_CAP "," قدرة القوات: ~firstValue~~connectCharacter~~secondValue~"," Troop Capacity: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_TOTAL_HEAL "," إجمالي تضميد الجراح: ~firstValue~~connectCharacter~~secondValue~"," Total heal: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_TOTAL_DAMAGE "," إجمالي الأضرار: ~firstValue~~connectCharacter~~secondValue~"," Total damage: ~firstValue~~connectCharacter~~secondValue~"
"InfoBarRow_COST_GOLD "," التكلفة: ~firstValue~~connectCharacter~~secondValue~ من الذهب"," Cost: ~firstValue~~connectCharacter~~secondValue~ gold"
"InfoBarRow_COST_WATER "," التكلفة: ~firstValue~~connectCharacter~~secondValue~ من المياه"," Cost: ~firstValue~~connectCharacter~~secondValue~ water"
"InfoBarRow_COST_DARK_WATER "," التكلفة: ~firstValue~~connectCharacter~~secondValue~ من النفط"," Cost: ~firstValue~~connectCharacter~~secondValue~ oil"
"PopupInfo_InfoTitle "," ~buildingName~ <مستوى ~level~>"," ~buildingName~ <Level ~level~>"
"PopupInfo_UpgradeTitle "," طور إلى المستوى ~level~؟"," Upgrade To Level ~level~?"
